filepath,label,source,split,duration_s,sample_rate,seed_for_split,consent_basis,uuid,gender,weeks,filename_label_mismatch,source_filepath
data/synth/belly_pain/0_00000.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00001.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00002.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00003.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00004.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00005.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00006.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00007.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00008.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00009.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00010.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00011.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00012.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00013.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00014.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00015.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00016.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00017.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00018.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00019.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00020.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00021.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00022.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00023.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00024.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00025.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00026.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00027.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00028.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00029.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00030.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00031.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
data/synth/belly_pain/0_00032.pt,belly_pain,ddpm_synthetic,train,,,,synthetic_no_real_clip,,,,0,
